year,month,oni_anomaly,dmi_iod
2016,1,2.63,0.266
2016,2,2.28,-0.11
2016,3,1.71,-0.009
2016,4,1.05,0.146
2016,5,0.49,-0.113
2016,6,0.0,-0.443
2016,7,-0.31,-0.758
2016,8,-0.5,-0.444
2016,9,-0.58,-0.437
2016,10,-0.64,-0.372
2016,11,-0.6,-0.382
2016,12,-0.45,-0.31
2017,1,-0.19,-0.086
2017,2,-0.02,0.101
2017,3,0.18,0.357
2017,4,0.31,0.499
2017,5,0.4,0.536
2017,6,0.39,0.424
2017,7,0.19,0.52
2017,8,-0.07,0.349
2017,9,-0.34,0.034
2017,10,-0.6,0.016
2017,11,-0.77,0.289
2017,12,-0.86,0.109
2018,1,-0.77,-0.2
2018,2,-0.71,0.215
2018,3,-0.57,-0.12
2018,4,-0.39,-0.083
2018,5,-0.13,0.122
2018,6,0.06,0.155
2018,7,0.14,0.053
2018,8,0.27,0.122
2018,9,0.53,0.604
2018,10,0.81,0.685
2018,11,0.97,0.5
2018,12,0.92,0.309
2019,1,0.89,0.387
2019,2,0.86,0.416
2019,3,0.84,0.224
2019,4,0.77,0.258
2019,5,0.64,0.539
2019,6,0.52,0.605
2019,7,0.33,0.597
2019,8,0.19,0.436
2019,9,0.23,0.893
2019,10,0.39,0.964
2019,11,0.58,0.835
2019,12,0.66,0.243
2020,1,0.64,0.173
2020,2,0.63,0.054
2020,3,0.53,0.019
2020,4,0.3,-0.011
2020,5,0.01,0.298
2020,6,-0.23,0.454
2020,7,-0.36,0.32
2020,8,-0.53,-0.183
2020,9,-0.85,-0.19
2020,10,-1.12,0.074
2020,11,-1.2,0.02
2020,12,-1.08,0.03
2021,1,-0.91,0.051
2021,2,-0.79,0.243
2021,3,-0.71,0.266
2021,4,-0.55,0.25
2021,5,-0.39,0.009
2021,6,-0.3,-0.002
2021,7,-0.35,-0.228
2021,8,-0.45,-0.099
2021,9,-0.63,-0.058
2021,10,-0.76,-0.091
2021,11,-0.91,0.069
2021,12,-0.87,-0.12
2022,1,-0.82,-0.056
2022,2,-0.79,-0.083
2022,3,-0.86,-0.093
2022,4,-0.95,-0.068
2022,5,-0.9,-0.122
2022,6,-0.78,-0.335
2022,7,-0.76,-0.195
2022,8,-0.87,-0.246
2022,9,-0.97,-0.322
2022,10,-0.94,-0.691
2022,11,-0.85,-0.269
2022,12,-0.71,-0.092
2023,1,-0.54,0.109
2023,2,-0.29,0.157
2023,3,-0.02,0.415
2023,4,0.27,0.56
2023,5,0.57,0.443
2023,6,0.84,0.665
2023,7,1.12,0.498
2023,8,1.37,0.825
2023,9,1.6,0.946
2023,10,1.83,0.804
2023,11,1.99,0.92
2023,12,2.06,0.851
2024,1,1.92,0.765
2024,2,1.62,0.328
2024,3,1.26,0.421
2024,4,0.82,0.44
2024,5,0.49,0.297
2024,6,0.22,0.197
2024,7,0.08,0.033
2024,8,-0.07,0.267
2024,9,-0.17,0.115
2024,10,-0.21,-0.196
2024,11,-0.3,-0.383
2024,12,-0.42,-0.331
2025,1,-0.45,-0.196
2025,2,-0.24,0.017
2025,3,-0.06,0.059
2025,4,0.02,0.149
2025,5,-0.02,0.2232222222222222
2025,6,-0.04,0.19111111111111112
2025,7,-0.14,0.09333333333333332
2025,8,-0.28,0.11411111111111111
2025,9,-0.4,0.1761111111111111
2025,10,-0.51,0.13255555555555557
2025,11,-0.55,0.17766666666666667
2025,12,-0.54,0.07655555555555556
